rank,ticker,company_name_en,sector,sub_segment_en,current_price_usd,market_cap_b,dividend_yield_pct,buyback_yield_pct,tcry_pct,div_5y_cagr_pct,payout_ratio_pct,roe_or_roic_pct,key_multiple,multiple_value,score_earnings_quality,score_dividend_growth,score_valuation,score_cycle_defense,total_score,target_return_12m_pct,stop_loss_pct,key_thesis_en,risk_factor_en
1,V,Visa Inc,Financial,Card Network,360.0,720,0.65,4.05,4.7,16.5,22,30,Forward P/E,28,32,28,17,13,90,15,-13,Global payments network duopoly + 65% operating margin + 6% TCRY return profile,Antitrust litigation / Stablecoin payment penetration
2,JPM,JPMorgan Chase,Financial,Megabank,245.0,710,2.05,4.45,6.5,12.0,28,17,P/TBV,2.4,30,27,16,15,88,11,-13,#1 global bank with $4T assets + Tier 1 capital 14%+ + $35B annual buyback,Recession-driven NCO surge / Regulatory tightening
3,HD,Home Depot,Retail,Home Improvement,415.0,415,2.17,4.05,6.2,12.0,55,42,EV/EBITDA,18,30,26,17,14,87,12,-14,#1 home improvement market + ROIC 40%+ + reshoring beneficiary + 14Y dividend growth,Housing cycle slowdown / Lowe's competition
4,BLK,BlackRock,Financial,Asset Management,1090.0,165,1.90,2.90,4.8,11.8,49,15,Forward P/E,22,29,27,16,14,86,12,-13,#1 AUM at $11.5T+ + iShares + Aladdin multi-tier revenue + IBIT BTC ETF success,Market beta exposure / Passive fee compression
5,TJX,TJX Companies,Retail,Off-Price,130.0,145,1.15,3.55,4.7,10.5,33,55,EV/EBITDA,16,29,28,15,14,86,15,-13,#1 off-price retail + ROIC 55% + 28Y dividend growth + inflation hedge category,Inventory turn slowdown / Supply chain pressure
6,AXP,American Express,Financial,Premium Card,310.0,225,1.05,4.05,5.1,10.0,22,32,Forward P/E,19,29,26,16,14,85,13,-13,Premium customer loyalty + Membership Rewards lock-in + 13Y dividend growth,Travel spend shock in recession / Gen Z attrition
7,MCD,McDonalds,Retail,QSR,310.0,225,2.28,3.10,5.4,7.0,55,30,EV/EBITDA,16,28,25,16,14,83,10,-13,40K+ global franchise stores + 28Y dividend growth + wage inflation hedge,Shake Shack-tier competition / Vegan trend
8,CB,Chubb,Financial,P&C Insurance,295.0,118,1.25,2.75,4.0,5.2,28,18,P/TBV,1.5,28,24,17,13,82,11,-13,#1 commercial insurance + 31Y dividend growth + insurance pricing cycle,Catastrophe frequency increase / Reinsurance cost surge
9,WMT,Walmart,Retail,Mass Retail,95.0,765,0.87,2.05,2.9,5.5,38,21,EV/EBITDA,16,28,22,16,18,84,10,-12,#1 global retailer + Walmart+ membership acceleration + Ad revenue +60% growth,E-commerce margin compression / Wage cost increase
10,TGT,Target,Retail,Discount Retail,155.0,72,2.89,3.65,6.5,12.0,52,28,EV/EBITDA,11,26,28,18,8,80,12,-15,54Y dividend growth (Dividend King) + private label margin advantage + e-comm 60% growth,Recurring inventory mis-execution / Theft loss escalation
