ticker,name,sector,industry,business_summary,brand_color,primary_element,secondary_element,source
# ── 화 (Fire): software, AI/cloud, EV, gaming, oil, ads ──
MSFT,Microsoft,Information Technology,Infrastructure Software,Cloud and productivity software platform,#00A4EF,fire,water,manual
AAPL,Apple,Information Technology,Consumer Electronics,Devices software services ecosystem,#A2AAAD,fire,metal,manual
GOOGL,Alphabet,Communication Services,Internet Content,Search advertising YouTube cloud,#4285F4,water,fire,manual
GOOG,Alphabet (C),Communication Services,Internet Content,Search advertising YouTube cloud,#4285F4,water,fire,manual
META,Meta Platforms,Communication Services,Social Media,Social platforms and advertising,#1877F2,water,fire,manual
ORCL,Oracle,Information Technology,Application Software,Enterprise database and cloud,#F80000,fire,,manual
CRM,Salesforce,Information Technology,Application Software,Customer relationship management cloud,#00A1E0,fire,water,manual
ADBE,Adobe,Information Technology,Application Software,Creative and document software,#FF0000,fire,,manual
NOW,ServiceNow,Information Technology,Application Software,IT service management cloud,#62D84E,fire,wood,manual
SNOW,Snowflake,Information Technology,Application Software,Cloud data warehouse platform,#29B5E8,fire,water,manual
PLTR,Palantir,Information Technology,Application Software,Government and enterprise data analytics,#000000,fire,water,manual
TSLA,Tesla,Consumer Discretionary,Auto Manufacturers,Electric vehicles and energy storage,#CC0000,fire,,manual
RIVN,Rivian Automotive,Consumer Discretionary,Auto Manufacturers,Electric truck SUV maker,#F1B237,fire,earth,manual
LCID,Lucid Group,Consumer Discretionary,Auto Manufacturers,Luxury electric vehicles,#0066B2,fire,water,manual
F,Ford Motor,Consumer Discretionary,Auto Manufacturers,Automobile manufacturing,#003478,fire,water,manual
GM,General Motors,Consumer Discretionary,Auto Manufacturers,Automobile manufacturing,#005DAA,fire,water,manual
XOM,Exxon Mobil,Energy,Integrated Oil,Integrated oil and gas exploration refining,#FF2E2E,fire,,manual
CVX,Chevron,Energy,Integrated Oil,Integrated oil and gas major,#0E5BA3,fire,water,manual
COP,ConocoPhillips,Energy,Oil Exploration,Independent oil and gas E&P,#E8232C,fire,,manual
SLB,Schlumberger,Energy,Oil Services,Oilfield services equipment,#0066CC,fire,water,manual
OXY,Occidental Petroleum,Energy,Oil Exploration,Oil and gas exploration production,#E10A1F,fire,,manual
EOG,EOG Resources,Energy,Oil Exploration,Independent oil and gas producer,#E20074,fire,,manual
MPC,Marathon Petroleum,Energy,Oil Refining,Refining transportation marketing,#0033A0,fire,water,manual
