rank,ticker,company_name_en,sector_en,ai_layer,current_price_usd,market_cap_b,ai_revenue_exposure_pct,revenue_growth_yoy_pct,fcf_margin_pct,roic_pct,score_ai_exposure,score_capital_efficiency,score_valuation,score_momentum,total_score,target_return_12m_pct,stop_loss_pct,key_thesis_en,risk_factor_en
1,NVDA,NVIDIA Corp,Semiconductors-GPU,Layer 1,145.0,3550,90,68,52,75,34,28,15,18,95,24,-15,Blackwell/Rubin GPU cycle + 80% data center revenue + CUDA ecosystem moat,China export restrictions / Hyperscaler custom ASIC share gain
2,TSM,Taiwan Semiconductor,Semiconductors-Foundry,Layer 1,215.0,1100,50,40,38,28,32,28,17,15,92,21,-13,3nm/2nm foundry monopoly + Arizona Fab ramp + AI revenue share crossing 50%,Geopolitical risk (Taiwan) / Capex burden
3,MSFT,Microsoft Corp,Software-Cloud,Layer 2,445.0,3300,35,16,32,28,33,27,16,15,91,16,-13,Azure AI revenue +60% YoY + Copilot penetration acceleration + OpenAI stake value,AI Capex ROI scrutiny / Antitrust regulation
4,AVGO,Broadcom Inc,Semiconductors-Network/ASIC,Layer 1,235.0,1090,60,45,48,32,32,27,15,16,90,19,-14,VMware synergy + custom ASIC TAM expansion + network chip dominance,Cycle volatility / Multiple compression risk
5,META,Meta Platforms,Internet-Ad AI,Layer 2,620.0,1580,40,22,38,30,31,27,16,15,89,17,-13,Vertically-integrated data centers + Llama open source + Ad AI revenue acceleration,Capex surge pressuring FCF margin / Regulation
6,GOOGL,Alphabet Inc,Internet-Cloud,Layer 2,185.0,2280,30,15,28,25,30,26,18,14,88,15,-13,GCP +35% YoY + TPU custom silicon advantage + Gemini integration acceleration,Search share threat / Antitrust litigation
7,ASML,ASML Holding,Semiconductors-EUV Tools,Layer 1,720.0,290,45,18,30,22,30,25,17,15,87,15,-12,EUV/High-NA monopoly + High-NA adoption ramp + Korea/Taiwan orders,China revenue restrictions / Capex cycle volatility
8,VRT,Vertiv Holdings,Industrials-DC Power,Layer 3,115.0,44,70,28,16,18,31,28,15,12,86,22,-15,#1 in data center power/cooling + immersion cooling share gain + AI backlog +50%,Competition intensifying (Schneider) / Material cost volatility
9,ANET,Arista Networks,Comm-DC Network,Layer 3,115.0,145,65,18,40,30,30,27,14,13,84,17,-13,#1 in 800G Ethernet switches + Meta/MSFT key customers + AI cluster networking,Customer concentration / White-box competition
10,PLTR,Palantir Technologies,Software-AI Platform,Layer 4,95.0,210,80,30,38,18,32,22,12,12,78,20,-18,AIP (AI Platform) adoption acceleration + Government+Commercial dual revenue + Revenue acceleration ↑,Valuation overhang (PEG 3.5+) / Extreme volatility
